title,author,description,categories,publisher,cover_image,store_url
เดอะลอร์ดออฟเดอะริงส์: การกลับมาของกษัตริย์,J. R. R. Tolkien,บทสรุปของสงครามแหวน การต่อสู้ระหว่างความดีกับความชั่ว การตัดสินใจที่จะทำสิ่งที่คิดว่าถูกต้อง กับการไม่ลงมือทำอะไรเลย คุณธรรมที่เราต่างก็คิดว่ามีอยู่ในตัว แท้จริงแล้วเป็นเพราะยังไม่มีสิ่ง เย้ายวนใจมาทำให้มันสูญเสียคุณค่าไป ทุกคนที่อาจกลายเป็นอสูร ได้ทุกเมื่อ ขึ้นอยู่กับว่าเมื่อใดเราจะพ่ายแพ้แก่อำนาจชั่วร้ายนั้น,fantasy|action_adventure,แพรวเยาวชน,/books/lotr_3.jpg,https://surl.li/ghbwyn
มุมมองนักอ่านพระเจ้า เล่ม 1,sing N song,คิมทุกจา หนุ่มพนักงานออฟฟิศธรรมดาๆ เขาเป็นเเฟนคลับของนักเขียนคนหนึ่งซึ่งนิยายออนไลน์เรื่องนี้ดำเนินเรื่องมาสิบปีแล้ว และแฟนๆก็เลิกติดตาม เลิกอ่านนิยายเรื่องนี้ไปแล้ว แต่มีเขาเพียงคนเดียวที่ยังติดตามนิยายเรื่องนี้อยู่ ระหว่างที่กำลังอยู่บนรถไฟฟ้า นักเขียนได้อัปเดตนิยายและแจ้งว่า เขาจะลงตอนจบของนิยาย หลังจากที่คิมทกจาได้อ่านตอนจบแล้ว นักเขียนก็ส่งข้อความมาหาตัวเขา ซึ่งคือสามวิธีเอาตัวรอดในโลกนิยายของนักเขียน หลังจากนั้นรถไฟฟ้าที่คิมทกจานั่งก็ทะลุมิติข้ามไปในโลกนิยาของเรื่องนี้ ดังนั้นการเอาตัวรอดในโลกที่กำลังล่มสลายจึงเริ่มขึ้น,fantasy|action_adventure,Levon,/books/orv_1.jpg,https://surl.li/ejgvpu
มุมมองนักอ่านพระเจ้า เล่ม 2,sing N song,คิมดกจาและสมาชิกกลุ่มมุ่งหน้าสู่สถานีชุงมูโรเวทีของ 'ซีนาริโอหลัก' ถัดไปที่นั่นมีกลุ่มดาวมากมายมารวมตัวกันดังนั้นโทแกบีก็เลยยิ่งมากตามระดับความยากของซีนาริโอจึงไม่ใช่เล่นๆ เลยนอกจากนี้ที่สถานีชุงมูโรยังมีตัวละครสำคัญอีกสองคนซึ่งคิมดกจาอยากได้ตัวมาร่วมกลุ่มหนึ่งคือเด็กสาวไร้พ่ายในสงครามแห่งท้องทะเลกับอีกหนึ่งคือเจ้าแห่งป้อมปราการติดอาวุธก็ต้องมาดูกันแล้วว่าระหว่างเขากับยูจุงฮยอกใครจะได้ตัวขุมกำลังหลักทั้งสองนี้ก่อนกัน!,fantasy|action_adventure,Levon,/books/orv_2.jpg,https://surl.li/jcoehm
มุมมองนักอ่านพระเจ้า เล่ม 3,sing N song,นอกจากคิมดกจาแล้ว ยังมี 'นักอ่าน' คนอื่นๆ อีกน่าแปลก เพราะในนิยายต้นฉบับไม่ว่าจะในการย้อนกลับรอบไหนก็ไม่เคยมีข้อมูลเกี่ยวกับคนพวกนี้อยู่เลยเพื่อที่จะสืบหาตัวตนที่แท้จริงและจุดประสงค์เบื้องหลังคิมดกจาจึงอ้างตนเป็นยูจุงฮยอกผู้เป็นดั่งพระเจ้าในสายตาคนเหล่านี้ จนได้รับเชิญให้เข้าร่วมใน'ค่ำคืนของเหล่านักพยากรณ์' โดยหารู้ไม่ว่านั่น...คือกับดัก!,fantasy|action_adventure,Levon,/books/orv_3.jpg,https://surl.li/gnkrxg
มุมมองนักอ่านพระเจ้า เล่ม 4,sing N song,สมาชิกกลุ่มกระจัดกระจายกันไปใน 'โลกที่ไร้ราชา' แต่คนแรกที่คิมดกจาได้เจอแทนที่จะเป็นเพื่อนคนใดคนหนึ่ง กลับกลายเป็นยัยนักเขียนขื้ก๊อปนั่นซะได้  คู่กัดเลยต้องจับมือกันชั่วคราว เตรียมความพร้อมสู่ซีนาริโอถัดไป ซึ่งครอบคลุมพื้นที่ขนาดใหญ่ที่สุดเท่าที่เคยมีมา นั่นคือทั้งกรุงโซล!  หนึ่งใน 'ภัยพิบัติ' ที่พวกเขาต้องขัดขวาง มีอยู่ภัยพิบัติหนึ่งที่แม้แต่ ยูจุงฮยอกก็ยังต้องพ่าย และเกือบตายในการย้อนกลับรอบที่ 3 แต่ หนนี้จะต่างออกไปแน่ เพราะมีตัวแปรอย่างคิมดกจาเข้ามาอย่างไรล่ะ,fantasy|action_adventure,Levon,/books/orv_4.jpg,https://surl.li/nbaicp
มุมมองนักอ่านพระเจ้า เล่ม 5,sing N song,ภัยพิบัติแห่งอุทกภัยที่ถล่มกรุงโซลได้ในเวลาไม่ถึงชั่วโมง ทว่าคิมดกจากลับเลือกที่จะไม่กำจัดเธอ หนำซ้ำยังรับเธอมาเป็น 'อวตาร' ของตัวเองอีกต่างหาก  จริงอยู่ว่าเขาไม่ใช่กลุ่มดาว แต่เรื่องการให้ความสนับสนุนอวตาร เขาทำได้ดีกว่ากลุ่มดาวบางกลุ่มแน่นอน  เด็กน้อยชินยูซึงคนนี้จะเติบโตไปเป็นเจ้าแห่งสัตว์อสูร เขาจำเป็นต้องมีเธออยู่ข้างกาย เพื่อไปให้ถึงฉากจบของเรื่องราวทั้งหมดที่เขาอยากจะเห็น,fantasy|action_adventure,Levon,/books/orv_5.jpg,https://surl.li/adedtv
มุมมองนักอ่านพระเจ้า เล่ม 6,sing N song,เพื่อช่วยหญิงสาวจากการย้อนกลับรอบที่ 41 คิมดกจาจึงรับภารกิจลับมาจากราชินีแห่งดินแดนยมโลกภารกิจแบบเดียวกับวีรบุรุษเฮอร์คิวลีสในตำนาน...การปราลอสรพิษ!ภารกิจลับกับซีนาริโอใหม่ดำเนินไปควบคู่กันณ ดินแดนอื่นที่ไม่ใช่โลกมนุษย์      หนนี้บทบาทของพวกเขากลับตาลปัตรจากผู้รับมือภัยพิบัติกลับต้องกลายมาเป็นภัยพิบัติต่อเผ่าพันธุ์อื่นเสียเอง!,fantasy|action_adventure,Levon,/books/orv_6.jpg,https://surl.lu/hgeypz
มุมมองนักอ่านพระเจ้า เล่ม 7,sing N song,(คุณคืออวตารที่แข็งแกร่งที่สุดของโดมกรุงโซลในปัจจุบัน)เมื่อความแข็งแกร่งของอวตารตัดสินจากระดับความยากของเรื่องเล่าที่สั่งสมมางั้นคิมดกจาจะแข็งแกร่งที่สุดก็ถูกต้องแล้วซึ่งเท่ากับว่าการยอมสละชีพของเขาจะปกป้องกรุงโซลได้     เขาเพิ่งจะได้รับคุณลักษณะ 'แปดชีวิต' มาตายไปสักครั้งก็ไม่มีปัญหาอะไรเพียงแต่การประลองระหว่างยูจุงฮยอกกับผู้กล้าชาตินั่นเขาคงต้องยื่นมือเข้าไปยุ่งเสียหน่อย หมอนั่นยิ่งแพ้ทางอีกฝ่ายอยู่ด้วยเกิดยูจุงฮยอกพลาดท่าถูกฆ่า แล้วทำโลกย้อนกลับนั่นไม่ดีสำหรับเขาแน่!,fantasy|action_adventure,Levon,/books/orv_7.jpg,https://surl.li/zhzobw
มุมมองนักอ่านพระเจ้า เล่ม 8,sing N song,คิมดกจาไปจาก 'สวรรค์' ได้หลายวันแล้ว เขาตั้งใจจะให้สมาชิกกลุ่มลองเผชิญกับซีนาริโอกันเอาเอง แต่คิดไม่ถึงว่ายูจุงฮยอกจะมาโผล่ที่นั่นด้วย  ลองว่าตัวเอกออกโรงเองแบบนี้ ก็การันตีความปลอดภัยของสมาชิกกลุ่มได้แล้ว แต่ความปลอดภัยของตัวเขานี่สิ กลับสุ่มเสี่ยง เมื่อข้อความแห่งโชคชะตาดังย้ำๆ อยู่นั้นแหละว่า...  อวตารคิมดกจาจะต้องตายด้วยเงื้อมมือของคนที่รักที่สุด  จนเกิดเป็นเรื่องราววุ่นวาย เพราะไม่ว่าจะอวตารหรือกลุ่มดาว ล้วนอยากรู้กันจะแย่ว่าคนที่คิมดกจารักที่สุดคือใครกัน!,fantasy|action_adventure,Levon,/books/orv_8.jpg,https://surl.li/wrjqme
มุมมองนักอ่านพระเจ้า เล่ม 9,sing N song,ตำแหน่ง 'ราชาปีศาจอันดับที่ 73' ตกเป็นของคิมดกจา ตามด้วยการที่เขาเสียสละชีวิตตัวเองอีกครั้ง  (ร่างอวตารของคุณดับสูญโดยสมบูรณ์) (คุณล้มเหลวในการดำเนินซีนาริโอ) (คุณถูกเนรเทศออกจากซีนาริโอ)  ร่างกายไม่มีแล้ว โลกให้กลับไปก็ไม่มีด้วย สิ่งที่ต้องทำตอนนี้คือการหาซีนาริโอแล้วเขาไปดำเนินเรื่องราวให้ได้ ไม่งั้นแม้แต่ดวงวิญญาณเขาก็รักษาไว้ไม่อยู่ และดูเหมือนว่ามีเพียงสถานที่เดียวที่เขาสามารถมุ่งหน้าไป ...โลกปีศาจที่ 73 สถานที่ซึ่งแทบจะไม่มีกลุ่มด้วย นักเล่าเรื่อง และความหวังใดๆ,fantasy|action_adventure,Levon,/books/orv_9.jpg,https://surl.li/xofkct
มุมมองนักอ่านพระเจ้า เล่ม 10,sing N song,ใครบางคนกำลังใช้ชื่อ ‘ยูจุงฮยอก’ ก่อเรื่องราวในโลกปีศาจที่ 73 เจ้าของชื่อจึงต้องมาดูด้วยตัวเอง เพราะเขาไม่ชอบที่มีคนมาอ้างตัวว่าเป็นเขาก็เท่านั้น ไม่สำคัญว่าคนคนนั้นจะเป็น ‘คิมดกจา’ หรือไม่  ด้านเจ้าตัวคิมดกจาก็กำลังเข้าสู่ช่วงเวลาสำคัญ เมื่อซีนาริโอ ‘เกมนักปฏิวัติ’ มาถึงช่วงสุดท้าย ที่นี่กำลังจะกลายเป็นสนามรบอย่างเต็มรูปแบบ! เขาจะใช้วิธีไหนมาเอาชนะ ‘โรงงาน’ อาวุธเรื่องเล่าที่แข็งแกร่งที่สุดของเหล่าดยุกได้กัน!,fantasy|action_adventure,Levon,/books/orv_10.jpg,https://surl.lu/bvbpsy
มุมมองนักอ่านพระเจ้า เล่ม 11,sing N song,ซีนาริโอ ‘ศึกเลือกราชาปีศาจ’ ไม่ใช่งานง่ายสำหรับพวกคิมดกจา เมื่อผู้ท้าชิงตำแหน่งราชาปีศาจอันดับที่ 73 เป็นถึงปีศาจระดับสูง แถมยังสมคบคิดกับพวกเนบิวลาอีกต่างหาก  เพราะฉะนั้นการออกตระเวนรวบรวมผู้ช่วยเหลือจึงเริ่มต้นขึ้น ด้าน ‘โลกวรยุทธ์ที่ 1’ ให้เป็นหน้าที่ของยูจุงฮยอก ส่วนคิมดกจาก็ตอบรับคำเชิญของเพอร์เซโฟนี เข้าร่วม ‘สมาคมอาหารเลิศรส’  ณ ที่นี่จะเป็นการเปิดตัวของเขาในฐานะกลุ่มดาวหน้าใหม่ เขาจะหาพันธมิตรจากสถานที่แห่งนี้ได้หรือไม่นะ,fantasy|action_adventure,Levon,/books/orv_11.jpg,https://surli.cc/ozuknk
มุมมองนักอ่านพระเจ้า เล่ม 12,sing N song,เวทีของซีนาริโอ ‘ศึกเลือกราชาปีศาจ’ ผ่านการจำลองสภาพให้เป็นดั่งเกม ในสถานการณ์ที่คู่ต่อสู้คือดยุกปีศาจจับมือกับเนบิวลา ทั้ง <โอลิมปัส> <เวด้า> และ <ปาปิรุส>  แต่ทีมของคิมดกจากลับมีแค่…สุนัขสองตัว มนุษย์ที่ระบุเพศไม่แน่ชัด ชายที่มีอาการซึมเศร้าหลังคลอด และกลุ่มดาวจากคาบสมุทรเกาหลีที่จำใจเลือกมา  ส่วนยูจุงฮยอกก็ไม่รู้จะกลับมาทันกาลไหม เพราะเมื่อ ‘สมรภูมิเทวตำนาน’ เริ่มขึ้นไม่ทันไร สมาชิกกลุ่มของคิมดกจาก็เสียชีวิตไปแล้วหนึ่งคน!,fantasy|action_adventure,Levon,/books/orv_12.jpg,https://surl.li/kjwiqr
มุมมองนักอ่านพระเจ้า เล่ม 13,sing N song,"คิมดกจา ทำ ‘คำสาบานต่างโลก’ และถูกส่งมายัง ‘รอบที่ 1,863’ ซึ่งเป็นโลกของการย้อนกลับรอบสุดท้ายของยูจุงฮยอก  โลกนี้ยังคงเป็นเหมือนอย่างในนิยายที่เขาอ่านมาตลอดสิบปี เขาจึงรู้วิธีรับมือกับยูจุงฮยอกของรอบนี้ผู้ซึ่งไม่ต่างกับอสูรร้าย แต่เหตุไม่คาดคิดกลับเกิดขึ้น สมาชิกกลุ่มที่ควรต้องตายไปแล้วกลับยังมีชีวิตอยู่ ซ้ำยังพากันมารุมไล่ล่ายูจุงฮยอก!  หากบอกว่ารอบที่ 3 ที่มีคิมดกจาเข้ามาเป็นตัวแปรได้เปลี่ยนแปลงไปแล้ว ถ้าอย่างนั้นรอบที่ 1,863 นี้ล่ะ ใช่เปลี่ยนแปลงไปเพราะมี ‘ใคร’ เข้ามาเป็นตัวแปรเช่นกันหรือไม่",fantasy|action_adventure,Levon,/books/orv_13.jpg,https://surl.li/fsjedj
มุมมองนักอ่านพระเจ้า เล่ม 14,sing N song,"คิมดกจาได้เจอ ยูจุงฮยอก ที่จะว่าคุ้นเคยก็อาจใช่ เพราะเป็นยูจุงฮยอกซึ่งตรงกับในนิยายที่เขารู้จักดีที่สุด แต่จะว่าแปลกหน้าก็ไม่ผิดเหมือนกัน … ทำไมเขาถึงคิดแบบนี้กันนะ ติดตามต่อได้ในเล่มเลยครับ!   คิมดกจา ทำ ‘คำสาบานต่างโลก’ และถูกส่งมายัง ‘รอบที่ 1,863’ ซึ่งเป็นโลกของการย้อนกลับรอบสุดท้ายของยูจุงฮยอก   โลกนี้ยังคงเป็นเหมือนอย่างในนิยายที่เขาอ่านมาตลอดสิบปี เขาจึงรู้วิธีรับมือกับยูจุงฮยอกของรอบนี้ผู้ซึ่งไม่ต่างกับอสูรร้าย แต่เหตุไม่คาดคิดกลับเกิดขึ้น สมาชิกกลุ่มที่ควรต้องตายไปแล้วกลับยังมีชีวิตอยู่ ซ้ำยังพากันมารุมไล่ล่ายูจุงฮยอก!   หากบอกว่ารอบที่ 3 ที่มีคิมดกจาเข้ามาเป็นตัวแปรได้เปลี่ยนแปลงไปแล้ว ถ้าอย่างนั้นรอบที่ 1,863 นี้ล่ะ ใช่เปลี่ยนแปลงไปเพราะมี ‘ใคร’ เข้ามาเป็นตัวแปรเช่นกันหรือไม่",fantasy|action_adventure,Levon,/books/orv_14.jpg,https://surl.lu/loxcuj
มุมมองนักอ่านพระเจ้า เล่ม 15,sing N song,<ไจแกนโทมาคี> ซีนาริโอหลักที่มีระดับความยาก SSS+ และมีเนบิวลาใหญ่ <โอลิมปัส> เป็นเจ้าภาพ ทุกครั้งที่ซีนาริโอนี้เวียนมาถึง ยักษาจะถูกเรียกตัวมาให้เทพและวีรบุรุษเหยียบย่ำสังหารซ้ำ ๆ แต่ <ไจแกนโทมาคี> หนนี้กลับต่างออกไป เพราะคิมดกจาปลุกระดมยักษา ก่อสงครามเต็มรูปแบบอย่างแท้จริง!  เนบิวลาน้องใหม่ <คิมดกจาคอมพานี> ขอท้าทายเทวตำนาน ทว่าใครก็คาดคิดไม่ถึง…แม้แต่ตัวคิมดกจาเอง ว่าปลายทางของสงครามครั้งนี้จะเรียกตัวตนที่ไม่ควรสถิตลงมา และสร้างพายุผลกระทบความเป็นไปได้ ที่ทำเอาทุกชีวิตแทบวอดวาย!!,fantasy|action_adventure,Levon,/books/orv_15.jpg,https://surl.lu/ldtozx
มุมมองนักอ่านพระเจ้า เล่ม 16,sing N song,มหาเรื่องเล่า ได้รับรางวัลใหญ่ประจำปี แต่ปัญหาคือต้องจัดกลุ่มให้มันว่าจะเป็น ‘ความดี’ หรือ ‘ความชั่ว’ ซึ่งนั่นจะหมายถึงจุดยืนของ ทว่าหากเลือกข้างที่นี่ ตอนนี้ จะไปไม่ถึงฉากจบที่ #คิมดกจา ต้องการ  ในสถานการณ์ที่สมาชิกกลุ่มต้องสามัคคีกันอย่างที่สุด แต่ ยูจุงฮยอก กลับแหกคอกเพราะความจริงบางอย่างที่เจ้าตัวเพิ่งได้รู้  “นั่นคือ ‘คำพยากรณ์’ ของแก หรือเป็นข้อมูลที่ได้มาจากหนังสือเรื่อง ‘สามวิธีรอด’ กันแน่”  หมอนี่รู้เรื่องนี้ได้อย่างไร และรู้มากแค่ไหนกัน!!,fantasy|action_adventure,Levon,/books/orv_16.jpg,https://surl.lt/mccrpt
มุมมองนักอ่านพระเจ้า เล่ม 17,sing N song,『สามวิธีการเอาชีวิตรอดในโลกที่ล่มสลาย』 จากการตีความของ คิมดกจา นิยายเรื่องนี้มีตัวเอกอยู่สามคน หนึ่งคือผู้ย้อนกลับ ยูจุงฮยอก สองคือผู้หวนคืน จางฮายอง และสามคือ...ราชาของเหล่าผู้กลับชาติ  เพื่อช่วย ยูซังอา ให้ไม่ต้องตกเป็นสมบัติของ ‘เกาะของเหล่าผู้กลับชาติ’ คิมดกจาได้ทำข้อตกลง ขัดขวางมหาสงครามเทพและปีศาจ ไม่ให้แผ่ขยายเข้ามายังอาณาเขตปกครองของราชา  การตกลงเป็นไปด้วยดี แต่คิมดกจาในเวลานั้นไม่รู้เลยว่า สำหรับสมาชิกกลุ่มบางคนแล้ว กว่าจะได้พบกันอีกครั้ง… 「เวลาจะล่วงเลยผ่านไปนานถึงห้าสิบปี」,fantasy|action_adventure,Levon,/books/orv_17.jpg,https://surl.li/ggpohv
มุมมองนักอ่านพระเจ้า เล่ม 18,sing N song,ภารกิจของ <คิมดกจาคอมพานี> คือขัดขวางไม่ให้มหาสงครามเทพและปีศาจมีผลตัดสินชี้ขาด แม้การยืดเยื้อจะทำให้ ‘แต้มโกลาหล’ ยิ่งเพิ่มมากขึ้น แต่ก็เป็นการกดดันให้สองผู้นำของฝ่ายดีและฝ่ายร้ายยุติสงครามได้อย่างดี ถ้าไม่อยากให้ ‘วินาศ’ กันไปหมดทั้งโลก ทว่า…  [เขตพื้นที่สงครามดังกล่าวมีการตัดสินฝ่ายที่ได้รับชัยชนะแล้ว] [ทำการมอบบทลงโทษเสียชีวิตให้แก่ผู้เข้าร่วมที่ปราชัยในเขตพื้นที่สงคราม]  มีสมาชิกกลุ่มที่ทำภารกิจไม่สำเร็จ! จะใช่ ฮันซูยอง ที่ต้องต้านทัพกลุ่มดาวฝ่ายดีที่นำโดย <เอเดน> หรือเป็น จองฮีวอน กับ อีฮยอนซอง ที่เผชิญหน้าเหล่าราชาปีศาจทั้งหลายกัน,fantasy|action_adventure,Levon,/books/orv_18.jpg,https://surl.li/pdhrpk
